city,city_ascii,state_abbr,state_name,county_name,country_name
New York,New York,NY,New York,Queens,USA
Los Angeles,Los Angeles,CA,California,Los Angeles,USA
Chicago,Chicago,IL,Illinois,Cook,USA
Miami,Miami,FL,Florida,Miami-Dade,USA
Houston,Houston,TX,Texas,Harris,USA
Dallas,Dallas,TX,Texas,Dallas,USA
Philadelphia,Philadelphia,PA,Pennsylvania,Philadelphia,USA
Atlanta,Atlanta,GA,Georgia,Fulton,USA
Washington DC,Washington DC,DC,District of Columbia,District of Columbia,USA
Washington,Washington,DC,District of Columbia,District of Columbia,USA
Boston,Boston,MA,Massachusetts,Suffolk,USA
Phoenix,Phoenix,AZ,Arizona,Maricopa,USA
Detroit,Detroit,MI,Michigan,Wayne,USA
Seattle,Seattle,WA,Washington,King,USA
San Francisco,San Francisco,CA,California,San Francisco,USA
San Diego,San Diego,CA,California,San Diego,USA
Minneapolis,Minneapolis,MN,Minnesota,Hennepin,USA
Tampa,Tampa,FL,Florida,Hillsborough,USA
Brooklyn,Brooklyn,NY,New York,Kings,USA
Denver,Denver,CO,Colorado,Denver,USA
Queens,Queens,NY,New York,Queens,USA
Riverside,Riverside,CA,California,Riverside,USA
Las Vegas,Las Vegas,NV,Nevada,Clark,USA
Baltimore,Baltimore,MD,Maryland,Baltimore,USA
St. Louis,St. Louis,MO,Missouri,St. Louis,USA
Saint Louis,Saint Louis,MO,Missouri,St. Louis,USA
Portland,Portland,OR,Oregon,Multnomah,USA
San Antonio,San Antonio,TX,Texas,Bexar,USA
Sacramento,Sacramento,CA,California,Sacramento,USA
Austin,Austin,TX,Texas,Travis,USA
Orlando,Orlando,FL,Florida,Orange,USA
San Juan,San Juan,PR,Puerto Rico,San Juan,USA
San Jose,San Jose,CA,California,Santa Clara,USA
Indianapolis,Indianapolis,IN,Indiana,Marion,USA
Pittsburgh,Pittsburgh,PA,Pennsylvania,Allegheny,USA
Cincinnati,Cincinnati,OH,Ohio,Hamilton,USA
Manhattan,Manhattan,NY,New York,New York,USA
Kansas City,Kansas City,MO,Missouri,Jackson,USA
Cleveland,Cleveland,OH,Ohio,Cuyahoga,USA
Columbus,Columbus,OH,Ohio,Franklin,USA
Bronx,Bronx,NY,New York,Bronx,USA
Charlotte,Charlotte,NC,North Carolina,Mecklenburg,USA
Virginia Beach,Virginia Beach,VA,Virginia,Virginia Beach,USA
Jacksonville,Jacksonville,FL,Florida,Duval,USA
Milwaukee,Milwaukee,WI,Wisconsin,Milwaukee,USA
Providence,Providence,RI,Rhode Island,Providence,USA
Nashville,Nashville,TN,Tennessee,Davidson,USA
Salt Lake City,Salt Lake City,UT,Utah,Salt Lake,USA
Raleigh,Raleigh,NC,North Carolina,Wake,USA
Richmond,Richmond,VA,Virginia,Richmond,USA
Memphis,Memphis,TN,Tennessee,Shelby,USA
Oklahoma City,Oklahoma City,OK,Oklahoma,Oklahoma,USA
Hartford,Hartford,CT,Connecticut,Capitol,USA
Louisville,Louisville,KY,Kentucky,Jefferson,USA
Buffalo,Buffalo,NY,New York,Erie,USA
Fort Worth,Fort Worth,TX,Texas,Tarrant,USA
Bridgeport,Bridgeport,CT,Connecticut,Greater Bridgeport,USA
New Orleans,New Orleans,LA,Louisiana,Orleans,USA
Tucson,Tucson,AZ,Arizona,Pima,USA
El Paso,El Paso,TX,Texas,El Paso,USA
Omaha,Omaha,NE,Nebraska,Douglas,USA
McAllen,McAllen,TX,Texas,Hidalgo,USA
Birmingham,Birmingham,AL,Alabama,Jefferson,USA
Albuquerque,Albuquerque,NM,New Mexico,Bernalillo,USA
Tulsa,Tulsa,OK,Oklahoma,Tulsa,USA
Charleston,Charleston,SC,South Carolina,Charleston,USA
Fresno,Fresno,CA,California,Fresno,USA
Rochester,Rochester,NY,New York,Monroe,USA
Dayton,Dayton,OH,Ohio,Montgomery,USA
Cape Coral,Cape Coral,FL,Florida,Lee,USA
Provo,Provo,UT,Utah,Utah,USA
Colorado Springs,Colorado Springs,CO,Colorado,El Paso,USA
Mission Viejo,Mission Viejo,CA,California,Orange,USA
Allentown,Allentown,PA,Pennsylvania,Lehigh,USA
Baton Rouge,Baton Rouge,LA,Louisiana,East Baton Rouge,USA
Ogden,Ogden,UT,Utah,Weber,USA
Knoxville,Knoxville,TN,Tennessee,Knox,USA
Grand Rapids,Grand Rapids,MI,Michigan,Kent,USA
Columbia,Columbia,SC,South Carolina,Richland,USA
Albany,Albany,NY,New York,Albany,USA
Bakersfield,Bakersfield,CA,California,Kern,USA
New Haven,New Haven,CT,Connecticut,South Central Connecticut,USA
Des Moines,Des Moines,IA,Iowa,Polk,USA
Palm Bay,Palm Bay,FL,Florida,Brevard,USA
Akron,Akron,OH,Ohio,Summit,USA
Concord,Concord,CA,California,Contra Costa,USA
Mesa,Mesa,AZ,Arizona,Maricopa,USA
Wichita,Wichita,KS,Kansas,Sedgwick,USA
Harrisburg,Harrisburg,PA,Pennsylvania,Dauphin,USA
Staten Island,Staten Island,NY,New York,Richmond,USA
Toledo,Toledo,OH,Ohio,Lucas,USA
Worcester,Worcester,MA,Massachusetts,Worcester,USA
Port St. Lucie,Port St. Lucie,FL,Florida,St. Lucie,USA
Little Rock,Little Rock,AR,Arkansas,Pulaski,USA
Madison,Madison,WI,Wisconsin,Dane,USA
Spokane,Spokane,WA,Washington,Spokane,USA
Long Beach,Long Beach,CA,California,Los Angeles,USA
Denton,Denton,TX,Texas,Denton,USA
Reno,Reno,NV,Nevada,Washoe,USA
Boise,Boise,ID,Idaho,Ada,USA
Bonita Springs,Bonita Springs,FL,Florida,Lee,USA
